GEOGRAPHY,YEAR,TOTAL CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NON-VIOLENT CRIME SEVERITY INDEX,YOUTH CRIME SEVERITY INDEX,YOUTH VIOLENT CRIME SEVERITY INDEX,YOUTH NON-VIOLENT CRIME SEVERITY INDEX
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,131,135,129,,,
"Kentville, Nova Scotia, municipal",12/31/2013 12:00:00 AM,89,42,106,,,
"Kings County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,68,79,64,,,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,54,56,53,,,
"Lunenburg County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,46,42,47,,,
"Westville, Nova Scotia, municipal",12/31/2016 12:00:00 AM,44,46,43,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,136,198,114,,,
Nova Scotia,12/31/2013 12:00:00 AM,70,73,69,88,82,91
"Truro, Nova Scotia, municipal",12/31/2017 12:00:00 AM,112,112,112,,,
"Victoria County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,108,92,114,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,111,143,99,,,
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,132,118,137,,,
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,65,39,74,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2010 12:00:00 AM,96,68,107,,,
"Westville, Nova Scotia, municipal",12/31/2011 12:00:00 AM,61,79,54,,,
"Kentville, Nova Scotia, municipal",12/31/2017 12:00:00 AM,74,88,70,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,61,67,58,,,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 12:00:00 AM,0,0,0,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,95,107,91,,,
"Kentville, Nova Scotia, municipal",12/31/2014 12:00:00 AM,111,128,105,,,
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,62,53,65,,,
"Bridgewater, Nova Scotia, municipal",12/31/2010 12:00:00 AM,85,96,81,,,
"Inverness County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,71,40,82,,,
"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,41,41,41,,,
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,,,,,,
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,50,61,46,,,
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,115,98,121,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,45,37,48,,,
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,52,44,55,,,
"Queens County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,70,106,56,,,
Nova Scotia,12/31/2011 12:00:00 AM,79,87,76,120,117,122
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,61,52,65,,,
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,166,166,166,,,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,0,0,0,,,
"Lunenburg County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,62,53,64,,,
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,235,253,227,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,78,72,80,,,
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 12:00:00 AM,64,87,56,,,
"Guysborough County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,112,268,55,,,
"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,40,45,39,,,
"Cumberland County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,26,18,29,,,
"Kentville, Nova Scotia, municipal",12/31/2015 12:00:00 AM,73,88,68,,,
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 12:00:00 AM,98,107,94,,,
"Truro, Nova Scotia, municipal",12/31/2011 12:00:00 AM,140,160,133,,,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,84,102,77,,,
"Cumberland County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,67,37,78,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,148,204,127,,,
"Springhill, Nova Scotia, municipal",12/31/2016 12:00:00 AM,,,,,,
"Cape Breton Region, Nova Scotia, municipal",12/31/2015 12:00:00 AM,61,62,61,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2010 12:00:00 AM,134,164,123,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,52,42,56,,,
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,52,31,60,,,
"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,43,46,43,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,64,50,69,,,
"Cape Breton Region, Nova Scotia, municipal",12/31/2011 12:00:00 AM,65,56,68,,,
"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,39,35,40,,,
"Westville, Nova Scotia, municipal",12/31/2015 12:00:00 AM,33,33,33,,,
"Cumberland County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,52,35,58,,,
"Stellarton, Nova Scotia, municipal",12/31/2015 12:00:00 AM,55,68,51,,,
"Cape Breton Region, Nova Scotia, municipal",12/31/2013 12:00:00 AM,59,49,62,,,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 12:00:00 AM,0,0,0,,,
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,45,43,46,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,144,159,138,,,
"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,29,16,34,,,
"Port of Halifax, Nova Scotia, Ports Canada Police",12/31/2012 12:00:00 AM,0,0,0,,,
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,82,67,88,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,47,42,49,,,
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 12:00:00 AM,76,94,69,,,
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,71,73,70,,,
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,134,154,126,,,
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,347,384,332,,,
Nova Scotia,12/31/2014 12:00:00 AM,66,67,66,85,87,82
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,,,,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,,,,,,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,60,57,61,,,
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,104,102,105,,,
"Cumberland County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,60,41,66,,,
"Inverness County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,53,70,47,,,
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,55,28,65,,,
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,113,120,110,,,
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,491,477,495,,,
"Meteghan (Clare), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,50,30,57,,,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,72,48,81,,,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,0,0,0,,,
"Canadian National Railway Police, Nova Scotia",12/31/2017 12:00:00 AM,0,0,0,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,35,31,37,,,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,81,50,91,,,
"Victoria County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,110,92,116,,,
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,63,54,66,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,131,109,139,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,69,53,74,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 12:00:00 AM,0,0,0,,,
"Springhill, Nova Scotia, municipal",12/31/2011 12:00:00 AM,164,300,115,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,112,129,106,,,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 12:00:00 AM,0,0,0,,,
"Kentville, Nova Scotia, municipal",12/31/2011 12:00:00 AM,82,59,91,,,
"Cumberland County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,54,44,58,,,
"Annapolis Royal, Nova Scotia, municipal",12/31/2014 12:00:00 AM,0,0,0,,,
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,51,45,53,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,,,,,,
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,61,77,55,,,
"Canadian National Railway Police, Nova Scotia",12/31/2015 12:00:00 AM,0,0,0,,,
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,96,133,82,,,
"Canadian National Railway Police, Nova Scotia",12/31/2011 12:00:00 AM,0,0,0,,,
"Trenton, Nova Scotia, municipal",12/31/2015 12:00:00 AM,,,,,,
Nova Scotia,12/31/2012 12:00:00 AM,77,78,76,111,100,119
"Canadian National Railway Police, Nova Scotia",12/31/2013 12:00:00 AM,0,0,0,,,
"New Glasgow Region, Nova Scotia, municipal",12/31/2014 12:00:00 AM,72,80,69,,,
"Trenton, Nova Scotia, municipal",12/31/2013 12:00:00 AM,,,,,,
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,129,156,120,,,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,92,106,87,,,
"Springhill, Nova Scotia, municipal",12/31/2015 12:00:00 AM,0,0,0,,,
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,280,303,271,,,
"Annapolis Royal, Nova Scotia, municipal",12/31/2012 12:00:00 AM,0,0,0,,,
"Cape Breton Region, Nova Scotia, municipal",12/31/2012 12:00:00 AM,73,64,76,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,57,67,53,,,
"Lunenburg County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,56,57,56,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,81,64,86,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,42,35,44,,,
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,0,0,0,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,120,111,123,,,
"Bridgewater, Nova Scotia, municipal",12/31/2015 12:00:00 AM,82,114,70,,,
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,107,90,113,,,
"Port of Halifax, Nova Scotia, Ports Canada Police",12/31/2013 12:00:00 AM,0,0,0,,,
"Victoria County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,86,77,89,,,
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2010 12:00:00 AM,314,165,371,,,
"Westville, Nova Scotia, municipal",12/31/2010 12:00:00 AM,65,50,72,,,
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,74,51,82,,,
"Springhill, Nova Scotia, municipal",12/31/2014 12:00:00 AM,103,125,95,,,
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,93,68,102,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,65,85,57,,,
"Guysborough County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,53,47,56,,,
"Annapolis Royal, Nova Scotia, municipal",12/31/2015 12:00:00 AM,0,0,0,,,
"Canadian National Railway Police, Nova Scotia",12/31/2010 12:00:00 AM,0,0,0,,,
"New Glasgow Region, Nova Scotia, municipal",12/31/2016 12:00:00 AM,84,93,81,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,,,,,,
"Trenton, Nova Scotia, municipal",12/31/2016 12:00:00 AM,,,,,,
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,669,"1,141",488,,,
"Westville, Nova Scotia, municipal",12/31/2013 12:00:00 AM,46,50,44,,,
"Inverness County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,48,54,46,,,
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,93,66,103,,,
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,,,,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,99,128,88,,,
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,0,0,0,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,37,51,32,,,
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,185,154,196,,,
"New Glasgow Region, Nova Scotia, municipal",12/31/2011 12:00:00 AM,105,102,106,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,58,53,60,,,
"Queens County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,52,52,51,,,
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,101,78,109,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 12:00:00 AM,0,0,0,,,
"Queens County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,61,47,66,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,43,40,44,,,
"Victoria County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,120,135,114,,,
"Port of Halifax, Nova Scotia, Ports Canada Police",12/31/2014 12:00:00 AM,0,0,0,,,
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,61,52,64,,,
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,90,83,92,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 12:00:00 AM,0,0,0,,,
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,0,0,0,,,
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,141,119,148,,,
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,258,213,274,,,
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,0,0,0,,,
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,100,127,89,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,169,133,181,,,
"Cape Breton Region, Nova Scotia, municipal",12/31/2010 12:00:00 AM,67,58,70,,,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,49,61,45,,,
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,307.41,320.52,302.01,,,
"Springhill, Nova Scotia, municipal",12/31/2010 12:00:00 AM,127,168,111,,,
"Kings County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,73,63,76,,,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,50,50,49,,,
"Bridgewater, Nova Scotia, municipal",12/31/2016 12:00:00 AM,60,57,60,,,
"Guysborough County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,39,28,42,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,49,53,48,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,82,63,89,,,
"Truro, Nova Scotia, municipal",12/31/2014 12:00:00 AM,115,107,117,,,
"Springhill, Nova Scotia, municipal",12/31/2013 12:00:00 AM,154,239,123,,,
Nova Scotia,12/31/2010 12:00:00 AM,84,85,83,124,115,131
"Inverness County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,66,48,73,,,
"Kings County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,74,72,74,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,44,43,45,,,
"Meteghan (Clare), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,32,18,38,,,
"Port of Halifax, Nova Scotia, Ports Canada Police",12/31/2010 12:00:00 AM,0,0,0,,,
"Meteghan (Clare), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,31,25,33,,,
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,79,113,67,,,
"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,46,47,45,,,
"Cape Breton Region, Nova Scotia, municipal",12/31/2017 12:00:00 AM,59,66,57,,,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 12:00:00 AM,0,0,0,,,
"Annapolis Royal, Nova Scotia, municipal",12/31/2017 12:00:00 AM,0,0,0,,,
"Guysborough County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,49,45,50,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 12:00:00 AM,0,0,0,,,
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,,,,,,
"Victoria County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,78,50,88,,,
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,48,38,52,,,
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,49,32,55,,,
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,187,182,188,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 12:00:00 AM,0,0,0,,,
"Guysborough County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,42,51,38,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,54,51,55,,,
