ParkName,State,partySize,BookingType,RateType,Equipment
Dollar Lake,NS ,2,CampsitePermit,Senior,Less than 20ft
Thomas Raddall,QC ,1,CampsitePermit,Senior,Less than 30ft
Amherst Shore,NS ,2,CampsitePermit,Full,Tents
Caribou Munroes,NS ,4,CampsitePermit,Full,Less than 20ft
Salsman,NS ,2,CampsitePermit,Full,Less than 40ft
Five Islands,NS ,2,CampsitePermit,Full,Less than 20ft
Graves Island,NS ,5,CampsitePermit,Full,Single Tent
Rissers Beach,NS ,3,CampsitePermit,Full,Less than 30ft
Laurie,NS ,3,CampsitePermit,Full,Single Tent
Smileys,NS ,3,CampsitePermit,Full,Single Tent
Caribou Munroes,NS ,4,CampsitePermit,Full,Single Tent
Laurie,NS ,1,CampsitePermit,Full,Single Tent
Smileys,NS ,4,CampsitePermit,Full,Tents
Rissers Beach,NS ,6,CampsitePermit,Full,Tents
Amherst Shore,SK ,1,CampsitePermit,Full,Single Tent
Salsman,NS ,2,CampsitePermit,Full,Single Tent
Blomidon,NS ,2,CampsitePermit,Full,Single Tent
Ellenwood Lake,NS ,4,CampsitePermit,Full,Single Tent
Thomas Raddall,NS ,4,CampsitePermit,Full,Single Tent
Rissers Beach,NS ,1,CampsitePermit,Full,Single Tent
Thomas Raddall,NS ,3,CampsitePermit,Full,Single Tent
Amherst Shore,QC ,2,CampsitePermit,Full,Single Tent
Dollar Lake,NS ,2,CampsitePermit,Full,Single Tent
Smileys,NS ,3,CampsitePermit,Full,Single Tent
Battery,ON ,2,CampsitePermit,Full,Less than 30ft
Graves Island,NS ,4,CampsitePermit,Full,Single Tent
Caribou Munroes,ON ,1,CampsitePermit,Senior,Less than 20ft
Mira River,NS ,4,CampsitePermit,Full,Single Tent
Mira River,NS ,4,CampsitePermit,Full,Less than 20ft
Graves Island,ON ,1,CampsitePermit,Senior,Single Tent
Rissers Beach,NS ,5,CampsitePermit,Full,Less than 30ft
Dollar Lake,NS ,6,CampsitePermit,Full,Less than 20ft
Rissers Beach,NS ,5,CampsitePermit,Full,Single Tent
Graves Island,ON ,3,CampsitePermit,Full,Less than 30ft
Blomidon,NS ,2,CampsitePermit,Full,Single Tent
Whycocomagh,NS ,2,CampsitePermit,Full,Single Tent
